participant	diagnostic	x	y	expected_direction	spearman_rho	spearman_p	n_trials
16	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.39684143050854087	7.88714609397015e-06	119
17	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.2452109721931715	0.007191005823897779	119
18	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.2446990025890866	0.007316645303691373	119
19	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.24697881981139463	0.006771737648346034	119
20	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.4344724203125596	7.934288889365241e-07	119
21	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.385831958287623	1.4674126758711494e-05	119
22	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.38898156783059984	1.2313962262067475e-05	119
23	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.35991525916270795	5.8110169780033746e-05	119
24	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.33809108150094197	0.00016952571951042914	119
25	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.3168689155903603	0.00044630157943658175	119
26	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.3449010919542831	0.00012239886468486837	119
27	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.40586003997872483	4.664081446253033e-06	119
1	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8851294790066181	5.182200072245706e-41	120
2	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.6460753532205283	1.6075030068437964e-15	120
3	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.6367193383634644	5.429334141476697e-15	120
4	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8138031832035302	1.3737735633140242e-29	120
5	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8849088961172166	5.764722998754712e-41	120
6	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.9247144865999979	2.5237496238058314e-51	120
7	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.7025516610849873	3.8103175872123223e-19	120
