participant	method	accuracy	balanced_accuracy	sensitivity_trust	specificity_distrust	precision	f1
19	personalized	0.8083333333333333	0.6617647058823529	1.0	0.3235294117647059	0.7889908256880734	0.882051282051282
19	fixed_0.5	0.7166666666666667	0.5	1.0	0.0	0.7166666666666667	0.8349514563106796
19	pooled_youden_threshold	0.7166666666666667	0.7667578659370725	0.6511627906976745	0.8823529411764706	0.9333333333333333	0.7671232876712328
20	personalized	0.75	0.6052631578947368	1.0	0.21052631578947367	0.7321428571428571	0.845360824742268
20	fixed_0.5	0.6833333333333333	0.5	1.0	0.0	0.6833333333333333	0.8118811881188119
20	pooled_youden_threshold	0.6416666666666667	0.6954428754813864	0.5487804878048781	0.8421052631578947	0.8823529411764706	0.6766917293233082
21	personalized	0.75	0.6428571428571428	1.0	0.2857142857142857	0.7222222222222222	0.8387096774193549
21	fixed_0.5	0.65	0.5	1.0	0.0	0.65	0.7878787878787878
21	pooled_youden_threshold	0.7083333333333334	0.7536630036630036	0.6025641025641025	0.9047619047619048	0.9215686274509803	0.7286821705426356
22	personalized	0.825	0.7083333333333334	1.0	0.4166666666666667	0.8	0.8888888888888888
22	fixed_0.5	0.7	0.5	1.0	0.0	0.7	0.8235294117647058
22	pooled_youden_threshold	0.725	0.7956349206349207	0.6190476190476191	0.9722222222222222	0.9811320754716981	0.7591240875912408
23	personalized	0.8333333333333334	0.7058823529411764	1.0	0.4117647058823529	0.8113207547169812	0.8958333333333334
23	fixed_0.5	0.7166666666666667	0.5	1.0	0.0	0.7166666666666667	0.8349514563106796
23	pooled_youden_threshold	0.6166666666666667	0.6969904240766074	0.5116279069767442	0.8823529411764706	0.9166666666666666	0.6567164179104478
24	personalized	0.8333333333333334	0.6559139784946236	0.978494623655914	0.3333333333333333	0.8348623853211009	0.900990099009901
24	fixed_0.5	0.775	0.5	1.0	0.0	0.775	0.8732394366197183
24	pooled_youden_threshold	0.39166666666666666	0.6075268817204301	0.21505376344086022	1.0	1.0	0.35398230088495575
25	personalized	0.825	0.7083333333333334	1.0	0.4166666666666667	0.8	0.8888888888888888
25	fixed_0.5	0.7	0.5	1.0	0.0	0.7	0.8235294117647058
25	pooled_youden_threshold	0.7833333333333333	0.7738095238095238	0.7976190476190477	0.75	0.881578947368421	0.8375
26	personalized	0.8166666666666667	0.7105263157894737	1.0	0.42105263157894735	0.7884615384615384	0.8817204301075269
26	fixed_0.5	0.6833333333333333	0.5	1.0	0.0	0.6833333333333333	0.8118811881188119
26	pooled_youden_threshold	0.6	0.7073170731707317	0.4146341463414634	1.0	1.0	0.5862068965517241
27	personalized	0.8416666666666667	0.7564102564102564	1.0	0.5128205128205128	0.81	0.8950276243093923
27	fixed_0.5	0.675	0.5	1.0	0.0	0.675	0.8059701492537313
27	pooled_youden_threshold	0.6333333333333333	0.7217473884140551	0.4691358024691358	0.9743589743589743	0.9743589743589743	0.6333333333333333
