ability	source_sheet	trial	subject	value
Low ability	ppk_1	9	1	0.7952978252888888
Low ability	ppk_1	9	2	0.7646699862222222
Low ability	ppk_1	9	3	0.5349435662
Low ability	ppk_1	9	4	0.7832098398888889
Low ability	ppk_1	9	5	0.5778734840444445
Low ability	ppk_1	9	6	0.7315564753555556
Low ability	ppk_1	9	7	0.6148552572444445
Low ability	ppk_1	9	8	0.7758900274666666
Low ability	ppk_1	9	9	0.763263804911111
Low ability	ppk_1	9	10	0.8892354117777778
Low ability	ppk_1	9	11	0.5156588618222222
Low ability	ppk_1	9	12	0.6252329082888889
Low ability	ppk_1	9	13	0.7916666075111111
Low ability	ppk_1	9	14	0.7342497966666667
Low ability	ppk_1	9	15	0.7201469975777778
Low ability	ppk_1	9	16	0.6241633095555555
Low ability	ppk_1	9	17	0.6830706920444444
Low ability	ppk_1	9	18	0.21607159171111112
Low ability	ppk_1	9	19	0.6951011159777778
Low ability	ppk_1	9	20	0.6739785071333332
Low ability	ppk_1	9	21	0.8189945284222223
Low ability	ppk_1	9	22	0.7243960441555556
Low ability	ppk_1	9	23	0.5274725254888889
Low ability	ppk_1	9	24	0.8267332884444444
Low ability	ppk_1	9	25	0.48492972488888886
Low ability	ppk_1	9	26	0.8291625726666666
Low ability	ppk_1	9	27	0.8269066566222222
Low ability	ppk_1	10	1	0.8300245936888889
Low ability	ppk_1	10	2	0.7840675010222222
Low ability	ppk_1	10	3	0.6792630364000001
Low ability	ppk_1	10	4	0.7175114498888888
Low ability	ppk_1	10	5	0.543156791
Low ability	ppk_1	10	6	0.7695108191333334
Low ability	ppk_1	10	7	0.5504758010222223
Low ability	ppk_1	10	8	0.7944543760666666
Low ability	ppk_1	10	9	0.7614879835777778
Low ability	ppk_1	10	10	0.7321716746888889
Low ability	ppk_1	10	11	0.6718886017111111
Low ability	ppk_1	10	12	0.6922150220666666
Low ability	ppk_1	10	13	0.7929855510666667
Low ability	ppk_1	10	14	0.7770021668888889
Low ability	ppk_1	10	15	0.7551479342
Low ability	ppk_1	10	16	0.5724439688888888
Low ability	ppk_1	10	17	0.7046756329333334
Low ability	ppk_1	10	18	0.35158847386666664
Low ability	ppk_1	10	19	0.5167654645333334
Low ability	ppk_1	10	20	0.6689461329111112
Low ability	ppk_1	10	21	0.8227829908666667
Low ability	ppk_1	10	22	0.6922142390444445
Low ability	ppk_1	10	23	0.672368339511111
Low ability	ppk_1	10	24	0.8317975055555555
Low ability	ppk_1	10	25	0.6326899119555556
Low ability	ppk_1	10	26	0.8332467255555556
Low ability	ppk_1	10	27	0.829834171511111
Low ability	ppk_1	11	1	0.6880415533777778
Low ability	ppk_1	11	2	0.5960638850222223
Low ability	ppk_1	11	3	0.5204158932888888
Low ability	ppk_1	11	4	0.5063996008444445
Low ability	ppk_1	11	5	0.4563879314666666
Low ability	ppk_1	11	6	0.6126547971777778
Low ability	ppk_1	11	7	0.4909982907555555
Low ability	ppk_1	11	8	0.6015022338888888
Low ability	ppk_1	11	9	0.7668716649111111
Low ability	ppk_1	11	10	0.5939701749111111
Low ability	ppk_1	11	11	0.7228265885999999
Low ability	ppk_1	11	12	0.7167570038444445
Low ability	ppk_1	11	13	0.7862076952888889
Low ability	ppk_1	11	14	0.7638881576
Low ability	ppk_1	11	15	0.5504534488
Low ability	ppk_1	11	16	0.6669593426666666
Low ability	ppk_1	11	17	0.7083294769333333
Low ability	ppk_1	11	18	0.548606835088889
Low ability	ppk_1	11	19	0.4485909948
Low ability	ppk_1	11	20	0.6635300920222222
Low ability	ppk_1	11	21	0.7314993247777779
Low ability	ppk_1	11	22	0.6845563410444445
Low ability	ppk_1	11	23	0.6598301993111112
Low ability	ppk_1	11	24	0.8024425770222222
Low ability	ppk_1	11	25	0.6432891128888889
Low ability	ppk_1	11	26	0.7660827942666666
Low ability	ppk_1	11	27	0.9473022128888888
Low ability	ppk_1	12	1	0.6045604158222222
